Dataset,Preprocessing,Time,Size,Certificate
aa32,1,15.4,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,2,7.6,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,14.2,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,1,8.3,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,2,7.7,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,9.5,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '36', '39', '4', '45', '49', '52', '54', '55', '56', '57', '59', '60', '61', '9']"
aa32,1,5.6,30,"['1', '11', '18', '21', '22', '23', '32', '33', '34', '36', '38', '4', '41', '42', '43', '44', '45', '47', '48', '49', '51', '52', '55', '56', '57', '59', '6', '60', '65', '9']"
aa32,2,3.7,30,"['1', '11', '18', '21', '22', '23', '32', '33', '34', '36', '38', '4', '41', '42', '43', '44', '45', '47', '48', '49', '51', '52', '55', '56', '57', '59', '6', '60', '65', '9']"
aa32,0,4.8,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,1,9.6,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,2,7.9,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,6.0,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '36', '38', '39', '4', '45', '49', '52', '55', '56', '57', '59', '60', '61', '9']"
aa32,1,29.6,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,2,7.8,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,13.3,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,1,9.3,30,"['1', '11', '18', '21', '22', '23', '32', '33', '34', '36', '38', '4', '41', '42', '43', '44', '45', '47', '48', '49', '51', '52', '55', '56', '57', '59', '6', '60', '65', '9']"
aa32,2,7.8,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa32,0,19.2,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '39', '4', '45', '49', '52', '55', '56', '57', '59', '6', '60', '9']"
aa32,1,9.7,30,"['0', '1', '11', '14', '16', '18', '19', '20', '21', '23', '24', '25', '27', '30', '32', '33', '35', '36', '38', '39', '4', '45', '49', '52', '55', '56', '57', '59', '60', '9']"
aa32,2,7.1,30,"['0', '1', '11', '14', '16', '19', '20', '21', '23', '24', '25', '26', '27', '30', '32', '33', '35', '36', '39', '4', '45', '52', '55', '56', '57', '59', '6', '60', '7', '9']"
aa41,0,120,45,"['1', '10', '12', '13', '14', '15', '18', '2', '20', '21', '23', '29', '30', '33', '41', '44', '47', '48', '49', '50', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87', '93', '94', '95', '96', '97', '98', '99']"
aa41,1,69.1,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '21', '23', '28', '29', '30', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.8,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,44.7,40,"['10', '11', '12', '13', '14', '15', '18', '2', '27', '28', '29', '30', '36', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,1,120,41,"['10', '11', '13', '14', '15', '18', '2', '26', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87', '27', '37']"
aa41,2,38.8,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,120,42,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '20', '21', '23', '29', '30', '31', '33', '41', '44', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '71', '72', '76', '79', '8', '86', '87', '97', '98', '99']"
aa41,1,89.4,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '20', '29', '30', '36', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.8,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,120,42,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '20', '21', '23', '29', '30', '33', '41', '44', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87', '98', '99']"
aa41,1,67.5,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,38.3,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,0,75.5,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '23', '28', '29', '30', '41', '44', '45', '46', '47', '48', '49', '50', '51', '53', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,1,89.4,40,"['10', '11', '12', '13', '14', '15', '18', '2', '20', '21', '23', '27', '29', '30', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,2,24.9,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']"
aa41,0,47.1,40,"['1', '10', '11', '12', '13', '14', '15', '18', '2', '21', '23', '28', '29', '30', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '62', '63', '66', '68', '7', '71', '72', '74', '76', '79', '8', '86', '87']"
aa41,1,70.0,40,"['10', '11', '13', '14', '15', '18', '2', '23', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']"
