Dataset,Solver,Timeout,Time,Size,Certificate
gka_6,IC_1,0.01,0.01,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '9', '6']"
gka_6,IC_1,0.1,0.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,IC_1,0.01,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_7,IC_1,0.1,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,IC_1,0.01,0.01,33,"['15', '22', '24', '4', '40', '59', '60', '63', '71', '90', '37', '41', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_8,IC_1,0.1,0.1,33,"['15', '22', '24', '37', '4', '40', '41', '59', '60', '63', '71', '90', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_9,IC_1,0.01,0.0,2,"['4', '5']"
gka_9,IC_1,0.1,0.0,2,"['4', '5']"
gka_10,IC_1,0.01,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_10,IC_1,0.1,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,IC_1,0.01,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_11,IC_1,0.1,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,IC_1,0.01,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_12,IC_1,0.1,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,IC_1,0.01,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_13,IC_1,0.1,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,IC_1,0.01,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_14,IC_1,0.1,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,IC_1,0.01,0.0,0,[]
gka_15,IC_1,0.1,0.0,0,[]
gka_16,IC_1,0.01,0.0,0,[]
gka_16,IC_1,0.1,0.0,0,[]
gka_17,IC_1,0.01,0.0,0,[]
gka_17,IC_1,0.1,0.0,0,[]
gka_18,IC_1,0.01,0.0,2,"['0', '6']"
gka_18,IC_1,0.1,0.0,2,"['0', '6']"
gka_19,IC_1,0.01,0.01,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_19,IC_1,0.1,0.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,IC_1,0.01,0.01,39,"['10', '11', '12', '14', '15', '17', '18', '2', '20', '22', '23', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '47', '48', '6', '8', '46', '49', '13', '26', '9', '27', '28', '24', '1', '31', '35', '41', '16', '44']"
gka_20,IC_1,0.1,0.1,39,"['10', '11', '12', '13', '14', '15', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '46', '47', '48', '49', '6', '8', '9', '1', '31', '35', '41', '16', '44']"
gka_21,IC_1,0.01,0.01,42,"['1', '11', '17', '20', '24', '25', '27', '34', '35', '37', '39', '52', '53', '56', '7', '8', '21', '46', '10', '18', '48', '43', '42', '58', '50', '54', '16', '29', '59', '30', '33', '28', '0', '36', '41', '47', '2', '49', '6', '44', '22', '9']"
gka_21,IC_1,0.1,0.1,42,"['1', '16', '18', '22', '24', '27', '28', '29', '36', '38', '40', '41', '46', '47', '53', '54', '58', '8', '9', '11', '2', '49', '44', '43', '59', '52', '56', '17', '33', '6', '34', '35', '30', '0', '39', '42', '48', '20', '50', '7', '45', '25']"
gka_22,IC_1,0.01,0.01,46,"['11', '16', '21', '22', '24', '30', '31', '34', '42', '51', '52', '57', '64', '1', '62', '35', '19', '2', '44', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_22,IC_1,0.1,0.1,46,"['1', '11', '16', '19', '2', '21', '22', '24', '30', '31', '34', '35', '42', '44', '51', '52', '57', '62', '64', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_23,IC_1,0.01,0.01,48,"['11', '22', '23', '24', '31', '33', '37', '44', '53', '55', '58', '73', '8', '1', '71', '39', '2', '20', '45', '10', '16', '49', '42', '40', '6', '52', '57', '13', '28', '79', '9', '76', '26', '78', '35', '4', '47', '18', '51', '68', '43', '21', '75', '30', '0', '65', '15', '29']"
gka_23,IC_1,0.1,0.1,48,"['1', '11', '22', '23', '24', '31', '33', '37', '39', '44', '53', '55', '58', '71', '73', '8', '2', '20', '45', '10', '16', '49', '42', '40', '6', '52', '57', '13', '28', '79', '9', '76', '26', '78', '35', '4', '47', '18', '51', '68', '43', '21', '75', '30', '0', '65', '15', '29']"
gka_24,IC_1,0.01,0.01,38,"['2', '24', '39', '4', '49', '51', '69', '79', '80', '55', '38', '40', '83', '14', '67', '58', '35', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_24,IC_1,0.1,0.1,38,"['2', '24', '38', '39', '4', '40', '49', '51', '55', '69', '79', '80', '83', '14', '67', '58', '35', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_25,IC_1,0.01,0.01,46,"['13', '15', '31', '32', '46', '47', '49', '59', '68', '74', '9', '34', '83', '11', '88', '5', '2', '20', '6', '12', '17', '61', '53', '52', '84', '67', '81', '14', '4', '98', '42', '96', '35', '97', '48', '50', '60', '19', '65', '87', '57', '21', '93', '44', '0', '85']"
gka_25,IC_1,0.1,0.1,44,"['12', '17', '27', '31', '32', '45', '49', '50', '6', '74', '79', '82', '94', '1', '9', '53', '2', '21', '60', '11', '18', '63', '57', '55', '83', '71', '81', '16', '4', '85', '42', '98', '35', '0', '5', '54', '61', '19', '65', '87', '59', '26', '96', '44']"
gka_26,IC_1,0.01,0.01,44,"['14', '23', '38', '40', '55', '56', '58', '68', '76', '78', '95', '41', '81', '12', '93', '59', '3', '34', '7', '13', '28', '71', '64', '63', '87', '74', '79', '2', '45', '9', '48', '99', '43', '10', '57', '6', '70', '29', '72', '92', '65', '37', '97', '54']"
