Dataset,Timeout,Size,Time,Certificate
gka_28.edgelist,100,72,23,"[0,1,2,3,4,6,7,8,9,12,14,15,17,18,19,21,22,24,25,28,29,30,31,32,34,36,39,40,41,42,43,45,47,48,50,51,52,53,54,55,56,57,58,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,82,85,87,91,92,93,95,96,97,99]"
gka_29.edgelist,100,77,3,"[1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,19,21,22,23,24,25,26,27,28,29,32,33,34,35,38,39,40,41,42,43,44,45,48,49,50,51,53,54,55,58,59,61,62,63,64,65,66,67,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,88,90,91,92,93,97,99]"
gka_30.edgelist,100,83,0,"[0,1,3,4,6,7,8,9,10,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,64,66,68,70,71,72,73,74,75,76,78,79,80,81,82,85,86,87,88,89,91,92,93,95,96,97,98]"
gka_31.edgelist,100,86,1,"[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,19,20,21,22,24,25,26,28,30,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,80,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_32.edgelist,100,89,1,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,54,55,56,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,91,92,93,94,95,96,97,98,99]"
gka_33.edgelist,100,91,1,"[0,1,3,4,5,6,8,9,10,11,12,13,14,15,16,18,19,20,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,91,92,93,94,95,96,97,99]"
gka_34.edgelist,100,93,1,"[0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,99]"
gka_35.edgelist,100,0,0,[]
bqp50_1.edgelist,100,11,40,"[2,5,13,14,32,33,37,42,45,47,49]"
bqp50_2.edgelist,100,12,2,"[4,6,16,20,27,28,30,31,33,42,44,46]"
bqp50_3.edgelist,100,14,15,"[0,8,9,10,22,30,31,36,39,40,41,43,44,46]"
bqp50_4.edgelist,100,11,48,"[10,15,16,17,19,20,21,23,28,33,41]"
bqp50_5.edgelist,100,13,0,"[1,4,17,18,27,28,29,32,33,35,46,47,49]"
bqp50_6.edgelist,100,9,6,"[6,8,11,15,16,20,21,23,37]"
bqp50_7.edgelist,100,9,11,"[1,5,13,16,23,28,39,45,47]"
bqp50_8.edgelist,100,15,4,"[0,3,4,17,19,22,23,24,29,30,36,43,46,47,48]"
bqp50_9.edgelist,100,13,2,"[10,14,15,17,20,23,27,29,33,34,37,40,41]"
bqp50_10.edgelist,100,12,3,"[0,1,3,4,6,7,12,18,20,25,26,41]"
