Dataset,Solver,Time,Size,Certificate
gka_20,akiba_iwata,0.6,39,"[1, 2, 3, 4, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 26, 27, 28, 29, 32, 34, 35, 36, 37, 38, 40, 41, 42, 44, 46, 47, 48, 49]"
gka_20,ilp,0.1,39,"['44', '15', '36', '17', '14', '48', '6', '22', '25', '11', '35', '30', '27', '49', '28', '13', '39', '38', '18', '8', '3', '23', '37', '33', '41', '24', '29', '16', '32', '20', '40', '4', '2', '12', '1', '26', '47', '42', '0']"
gka_21,akiba_iwata,1.7,40,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 14, 16, 17, 18, 20, 21, 22, 25, 27, 28, 29, 31, 33, 34, 35, 36, 38, 39, 41, 42, 43, 46, 47, 48, 49, 52, 54, 55, 59]"
gka_21,ilp,0.3,40,"['46', '36', '17', '7', '14', '22', '10', '48', '6', '25', '11', '35', '27', '47', '49', '28', '33', '39', '38', '43', '42', '18', '8', '3', '54', '41', '29', '16', '59', '20', '4', '5', '2', '34', '21', '1', '55', '31', '52', '0']"
gka_22,akiba_iwata,5.4,43,"[0, 1, 3, 5, 8, 9, 11, 13, 15, 16, 17, 18, 19, 20, 21, 22, 28, 29, 30, 34, 35, 36, 37, 38, 39, 40, 41, 42, 44, 45, 46, 49, 51, 52, 57, 58, 59, 60, 61, 64, 66, 67, 69]"
gka_22,ilp,1.0,43,"['46', '36', '17', '15', '7', '51', '22', '52', '37', '35', '30', '61', '42', '49', '69', '67', '28', '13', '39', '38', '18', '8', '3', '11', '44', '45', '16', '20', '40', '60', '29', '5', '57', '34', '59', '58', '19', '56', '41', '9', '1', '66', '0']"
gka_23,akiba_iwata,42.6,46,"[0, 1, 3, 4, 6, 8, 9, 11, 13, 14, 15, 18, 21, 23, 25, 27, 28, 29, 30, 31, 32, 33, 35, 37, 39, 40, 44, 45, 49, 51, 52, 53, 57, 58, 59, 62, 64, 65, 67, 69, 71, 73, 74, 75, 76, 78]"
gka_23,ilp,16.9,46,"['15', '75', '51', '52', '4', '6', '65', '25', '35', '44', '71', '64', '49', '69', '67', '28', '13', '78', '73', '33', '39', '18', '8', '3', '23', '63', '54', '62', '37', '11', '30', '45', '74', '32', '0', '27', '9', '57', '53', '21', '59', '58', '76', '29', '31', '1']"
gka_24,akiba_iwata,74.3,37,"[3, 4, 15, 18, 20, 22, 23, 24, 25, 28, 30, 33, 34, 36, 38, 39, 40, 42, 46, 51, 53, 55, 56, 58, 59, 60, 62, 63, 64, 66, 72, 73, 79, 80, 83, 87, 89]"
gka_24,ilp,17.3,37,"['46', '36', '60', '83', '22', '64', '28', '13', '62', '33', '24', '53', '20', '4', '34', '55', '72', '3', '66', '75', '56', '30', '51', '80', '59', '25', '38', '89', '18', '42', '23', '63', '40', '87', '58', '79', '39']"
