Solver,Threads,Memory,Formulation,Dataset,Vertices,Edges,Time,Opt,Certificate
CPLEX,4,4,OCT,gka_29,100,2000,600.1,78,"['53', '24', '26', '16', '29', '64', '87', '55', '48', '8', '39', '74', '19', '75', '43', '91', '72', '45', '99', '11', '28', '33', '25', '40', '70', '98', '7', '22', '86', '38', '83', '35', '1', '42', '5', '61', '88', '59', '85', '13', '27', '79', '66', '51', '62', '95', '90', '97', '92', '54', '23', '12', '78', '44', '50', '84', '63', '57', '41', '76', '14', '3', '69', '15', '60', '80', '49', '77', '4', '6', '37', '32', '2', '96', '82', '21', '67', '68']"
CPLEX,4,4,VC,gka_29,100,2000,44.1,77,"['53', '8', '16', '7', '17', '48', '26', '39', '2', '24', '46', '38', '29', '22', '76', '61', '88', '27', '66', '51', '90', '42', '23', '12', '78', '71', '63', '80', '41', '14', '3', '59', '4', '58', '32', '43', '85', '77', '82', '21', '91', '64', '97', '55', '81', '74', '75', '67', '72', '28', '40', '86', '99', '83', '35', '1', '5', '96', '79', '19', '62', '10', '70', '92', '49', '13', '54', '44', '50', '65', '45', '84', '33', '25', '93', '15', '6']"
CPLEX,4,4,OCT,gka_27,100,1016,600.1,64,"['53', '8', '16', '29', '64', '87', '55', '10', '31', '81', '74', '51', '75', '2', '0', '46', '45', '99', '11', '56', '25', '34', '94', '30', '22', '86', '38', '83', '35', '42', '61', '88', '85', '18', '66', '19', '95', '90', '97', '54', '78', '71', '44', '50', '65', '13', '63', '41', '76', '14', '15', '93', '89', '6', '58', '9', '37', '40', '82', '21', '84', '20', '68', '36']"
CPLEX,4,4,VC,gka_27,100,1016,139.0,62,"['53', '16', '17', '48', '26', '2', '46', '29', '94', '22', '76', '61', '88', '66', '51', '90', '42', '78', '63', '41', '14', '59', '89', '58', '32', '85', '82', '21', '91', '52', '81', '74', '9', '72', '11', '28', '56', '40', '37', '30', '47', '83', '35', '19', '10', '70', '92', '49', '54', '44', '68', '50', '45', '84', '57', '33', '25', '15', '0', '6', '34', '36']"
CPLEX,4,4,OCT,gka_28,100,1425,600.2,71,"['53', '16', '29', '64', '17', '55', '48', '8', '74', '19', '75', '43', '0', '91', '46', '45', '11', '28', '33', '25', '40', '7', '22', '47', '86', '99', '35', '42', '88', '59', '13', '27', '18', '66', '51', '62', '10', '90', '70', '97', '92', '95', '54', '23', '12', '71', '50', '65', '84', '63', '73', '57', '76', '14', '93', '60', '80', '49', '89', '4', '20', '9', '37', '2', '34', '77', '82', '21', '6', '67', '36']"
CPLEX,4,4,VC,gka_28,100,1425,317.1,70,"['53', '8', '16', '17', '48', '26', '2', '24', '38', '29', '94', '22', '76', '27', '18', '66', '51', '90', '42', '12', '71', '63', '80', '73', '60', '89', '4', '58', '43', '85', '77', '82', '21', '91', '97', '55', '74', '75', '67', '9', '95', '28', '56', '40', '47', '99', '83', '35', '5', '96', '98', '79', '19', '62', '70', '92', '54', '68', '50', '65', '45', '57', '33', '25', '93', '15', '0', '6', '34', '36']"
CPLEX,4,16384,OCT,gka_1,44,90,0.2,9,"['18', '39', '10', '38', '29', '7', '22', '9', '13']"
CPLEX,4,16384,VC,gka_1,44,90,0.1,9,"['43', '25', '7', '23', '12', '3', '15', '4', '9']"
CPLEX,4,16384,OCT,aa43,58,303,3.0,18,"['16', '30', '31', '39', '2', '10', '38', '8', '28', '21', '4', '22', '20', '32', '1', '5', '27', '36']"
CPLEX,4,16384,VC,aa43,58,303,0.1,18,"['8', '16', '31', '38', '28', '22', '1', '5', '27', '10', '30', '39', '4', '20', '32', '2', '21', '36']"
CPLEX,4,16384,OCT,aa45,75,381,7.4,20,"['11', '30', '17', '23', '12', '2', '22', '24', '20', '38', '3', '21', '33', '34', '4', '29', '35', '42', '6', '36']"
CPLEX,4,16384,VC,aa45,75,381,0.1,20,"['24', '29', '2', '38', '11', '33', '22', '35', '42', '23', '12', '3', '36', '4', '17', '6', '20', '34', '21', '37']"
CPLEX,4,16384,OCT,gka_2,58,149,9.0,16,"['23', '10', '31', '57', '38', '14', '11', '28', '6', '25', '29', '47', '37', '32', '42', '27']"
CPLEX,4,16384,VC,gka_2,58,149,0.1,16,"['29', '31', '38', '11', '28', '33', '7', '47', '42', '27', '10', '23', '14', '37', '32', '6']"
CPLEX,4,16384,OCT,aa29,265,1048,9.8,21,"['7', '17', '38', '33', '29', '42', '14', '58', '15', '21', '6', '55', '25', '5', '10', '54', '45', '20', '66', '36', '68']"
CPLEX,4,16384,VC,aa29,265,1048,0.1,21,"['17', '33', '42', '21', '20', '55', '7', '5', '10', '54', '6', '38', '29', '66', '14', '15', '58', '45', '25', '68', '36']"
CPLEX,4,16384,OCT,aa42,226,1100,125.5,30,"['16', '24', '61', '66', '78', '80', '69', '59', '58', '32', '85', '77', '18', '31', '81', '74', '75', '11', '28', '47', '35', '1', '5', '79', '10', '49', '50', '65', '84', '33']"
CPLEX,4,16384,VC,aa42,226,1100,0.3,30,"['24', '33', '61', '78', '44', '80', '69', '85', '20', '56', '47', '1', '5', '10', '65', '16', '38', '18', '23', '81', '58', '32', '75', '66', '74', '25', '79', '11', '59', '36']"
CPLEX,4,16384,OCT,gka_3,70,223,228.5,23,"['18', '19', '10', '69', '52', '54', '48', '13', '24', '46', '57', '3', '22', '56', '45', '29', '0', '47', '15', '43', '35', '60', '61']"
