Dataset,Solver,Time,Size,Certificate
bqp50_1,ilp,0.1,11,"['6', '38', '33', '30', '47', '5', '49', '14', '32', '37', '13']"
bqp50_2,ilp,0.0,11,"['6', '43', '33', '23', '30', '10', '49', '18', '29', '11', '13']"
bqp50_3,ilp,0.0,14,"['43', '26', '39', '22', '10', '46', '9', '42', '14', '40', '8', '48', '37', '41']"
bqp50_4,ilp,0.1,11,"['33', '26', '39', '35', '22', '19', '49', '46', '21', '18', '17']"
bqp50_5,ilp,0.1,13,"['31', '26', '3', '35', '23', '27', '15', '49', '48', '2', '32', '17', '37']"
bqp50_6,ilp,0.1,9,"['43', '20', '25', '27', '18', '24', '14', '11', '8']"
bqp50_7,ilp,0.1,10,"['39', '23', '44', '1', '16', '15', '5', '49', '13', '45']"
bqp50_8,ilp,0.1,14,"['25', '35', '19', '16', '5', '29', '24', '0', '14', '8', '17', '37', '12', '45']"
bqp50_9,ilp,0.1,12,"['43', '31', '25', '39', '22', '19', '16', '29', '42', '17', '12', '36']"
bqp50_10,ilp,0.1,11,"['6', '43', '31', '3', '23', '27', '19', '32', '13', '41', '28']"
bqp100_1,ilp,18.5,41,"['47', '33', '69', '99', '60', '7', '61', '86', '18', '0', '5', '52', '26', '76', '74', '72', '4', '32', '98', '13', '45', '39', '31', '97', '62', '85', '89', '22', '54', '57', '12', '24', '10', '67', '59', '96', '14', '92', '58', '68', '36']"
bqp100_2,ilp,70.9,42,"['33', '69', '94', '35', '7', '61', '15', '9', '29', '66', '5', '26', '73', '76', '74', '72', '48', '28', '45', '53', '88', '31', '85', '3', '22', '30', '50', '51', '70', '49', '10', '75', '40', '11', '59', '96', '34', '87', '14', '56', '41', '36']"
bqp100_3,ilp,20.3,42,"['65', '20', '47', '33', '25', '35', '23', '19', '81', '86', '9', '18', '0', '52', '26', '43', '73', '76', '8', '95', '98', '53', '39', '31', '97', '62', '22', '50', '57', '10', '46', '63', '82', '40', '59', '96', '1', '34', '71', '56', '36', '77']"
bqp100_4,ilp,47.6,41,"['94', '35', '23', '60', '44', '84', '81', '15', '18', '29', '66', '42', '52', '43', '73', '8', '48', '4', '95', '32', '45', '37', '39', '31', '22', '54', '57', '70', '24', '49', '10', '46', '21', '96', '1', '14', '92', '71', '58', '83', '36']"
bqp100_5,ilp,45.0,42,"['6', '65', '20', '25', '99', '94', '79', '90', '27', '19', '81', '61', '18', '0', '42', '5', '73', '76', '8', '72', '4', '32', '28', '45', '80', '88', '37', '93', '3', '78', '55', '57', '51', '24', '10', '63', '34', '87', '14', '71', '56', '83']"
bqp100_6,ilp,71.5,43,"['20', '33', '84', '81', '16', '86', '9', '18', '29', '0', '42', '26', '73', '76', '74', '8', '48', '2', '98', '13', '45', '53', '37', '39', '97', '62', '93', '55', '50', '12', '70', '82', '67', '91', '11', '59', '96', '34', '17', '56', '41', '83', '68']"
bqp100_7,ilp,45.9,42,"['20', '38', '99', '94', '23', '90', '27', '84', '61', '16', '9', '29', '0', '66', '42', '76', '8', '48', '2', '32', '13', '28', '37', '39', '97', '93', '89', '22', '50', '57', '12', '51', '70', '46', '75', '21', '91', '96', '1', '87', '83', '36']"
bqp100_8,ilp,46.0,43,"['6', '65', '47', '33', '64', '25', '99', '94', '35', '90', '81', '61', '15', '86', '9', '66', '42', '5', '26', '73', '72', '4', '32', '13', '80', '39', '85', '54', '57', '51', '70', '75', '91', '96', '87', '14', '92', '71', '56', '41', '58', '83', '68']"
bqp100_9,ilp,95.6,44,"['6', '20', '38', '33', '64', '25', '69', '99', '35', '44', '19', '81', '9', '18', '0', '42', '52', '73', '4', '95', '32', '98', '13', '45', '53', '37', '97', '93', '30', '57', '70', '24', '49', '75', '63', '67', '11', '34', '87', '17', '41', '83', '68', '77']"
bqp100_10,ilp,80.0,44,"['6', '20', '38', '33', '99', '79', '19', '84', '81', '7', '18', '66', '42', '5', '52', '26', '43', '74', '8', '72', '98', '80', '88', '39', '31', '93', '55', '54', '50', '57', '70', '49', '75', '63', '67', '91', '40', '1', '92', '71', '56', '68', '36', '77']"
